Cidade,Categoria,Nome_Local,Autor,Texto,Data,Rating
Arouca,restaurante,Tasquinha da Quinta,IC,"I came here as part of a tour, and this restaurant saved the tour!  We had goat meat with potatoes and spinach, along with homemade bread.  The bread was unlike anything I've ever tasted before—so good!  The goat meat was incredibly fresh and tender; I was genuinely sad when I got full because I wanted to eat more.  Even though I'm staying in Gaia, I'll definitely make my way back to this restaurant to try more of their food!",10 months ago,5
Arouca,restaurante,Tasquinha da Quinta,Preetam Nath,"Has to be the most delicious veal I've had in my life. Probably the best meat I've ever had. Just look at the photos and let your mouth water haha. If you're in Arouca area, you must come here. We came with our tour guide and the place was packed. So do check if you need to make reservations. The beer was great and went well with the food, although they also serve green wine which pairs perfectly with the veal.",a year ago,5
Arouca,restaurante,Tasquinha da Quinta,Roya MJ,"Came here as part of a tour and very much appreciated the enjoyed the food, the vibes and the service.

We had a traditional meal made with veal called vitela assada à regional that was accompanied by greens and potatoes. With the meal we were served white wine from the region and then espresso. Everything wonderful and flavorful.",a year ago,5
Arouca,restaurante,Tasquinha da Quinta,Jonathan lugo,Very good food and an excellent place to eat! We went with a group and the food took like 2 minutes to be served. The portion was more than enough and flavorful.,a year ago,5
Arouca,restaurante,Tasquinha da Quinta,Benjamim Nande,Great place for a good typical Portuguese food. Good service. Reasonable wine selection,4 months ago,5
Arouca,restaurante,Parlamento,Helena Borges,"Delicious food and super nice service. Generous amounts of food. We’re lucky enough to get a table on a Saturdays night without reservation but I would recommend to book it before you go. Very cozy place, nice atmosphere.",a year ago,5
Arouca,restaurante,Parlamento,Greg Janes,"We loved this place! We stopped here on our way through town and felt really lucky we stumbled into this place. We loved sitting outside and enjoying the surroundings. The wait staff was excellent and the food was delicious. We enjoyed everything we ordered, including the vegetable soup and the salad. Our main course was the Grilled Cod and it did not disappoint. Excellent experience, best food we've had so far in Portugal!",a year ago,5
Arouca,restaurante,Parlamento,Tiago Ferreira,The food was delicious and the staff was friendly. They offered us dessert and drinks.,5 months ago,5
Arouca,restaurante,Parlamento,Samuel Monteiro,"Amazing food and wine. We had the house special ""Vitela assada"" and it was lovely! They had a variety of desserts to choose from. You cannot go wrong with these either as they were awesome.
Prices were reasonable and not expensive. Lovely staff and place.
If you looking for a restaurant in Arouca to taste the local cuisine and the traditional flavors, Parlamento is a top choice.",a year ago,5
Arouca,restaurante,Parlamento,Pini Shvartsman,we are the recommended steaks. very good. comes with two sides of local rice and french fries. large portions. service was good and professional.,a year ago,5
Arouca,restaurante,Casa Testinha,Georgia Cardoso,"If you like to eat in a place that has an excellent food and a highly service quality, this is the place!",7 months ago,5
Arouca,restaurante,Casa Testinha,Veronica,"We showed up at closing time but the staff was kind enough to still serve us. Very good chicken at cheap price. Very friendly staff. Extremely recommended for a local experience, specially after the Paiva walkways.",a year ago,5
Arouca,restaurante,Casa Testinha,K M,"Some of the best fried chicken I have had. Friendly staff, quick and attentive service, affordable prices. Highly recommend!",a year ago,5
Arouca,restaurante,Casa Testinha,David Aaron,We arrived just for a glass of wine and ended up having dinner. Jao was a wonderful host and explained the restaurants speciality was chicken. The chicken was as good as he portrayed. A fantastic evening. Highly recommended.,3 years ago,5
Arouca,restaurante,Casa Testinha,Rap Par,"Delicious, quick, cheap traditional Portuguese food, what else do you need to know?",a year ago,5
Arouca,restaurante,A Assembleia,Ken Weary,"Incredible meal and service! Hands down this is an incredible place to eat. I had the veal steak (which came with chips/fries, and smokehouse rice), my partner had the tuna salad. Both were incredible. For drinks we had wine and sangria (again, both were top notch). The brownie was a fantastic finisher. We will be back.",3 years ago,5
Arouca,restaurante,A Assembleia,Lois Chi Hua Lai,"We have enjoyed our lunch very much here.  The roast veal with onions, peppers, carrots, cabbages, and potatoes are extrordinary delicious.  The owner let us try his home made honey wine, which is unbelievably superb.  The dessert,  Super Walkways (ice cream topping on apple pie custard with cinnamon  and a spring roll like dessert with yellow sweet stuffing), is the number 1 dessert we have ever had so far in Europe.  If you have come to Arouca Portugual, you must stop by here to dine.  The owner is really passionate and   enthusiastic!",a year ago,5
Arouca,restaurante,A Assembleia,dia more,"This place is a hidden Gem!
First we thought we would kinda feel awkward in here, since we came after hike in our hiking outfits, but the waiters were so kind and  made us feel so welcomed that we immediately felt comfortable!

Our waiter took the time to bring us an english menu card plus explained and answered our questions about certain foods we didn’t know of.
Everything tasted of high quality and very delicious!",a year ago,5
Arouca,restaurante,A Assembleia,Clover Sunshine,Brilliant meal. “Heaven on a plate”. Exquisite service and exceptional dinner. We cannot ask for more. You must order the apple pie dessert or there is no point in living. It is the best thing you shall ever eat.,4 years ago,5
Arouca,restaurante,A Assembleia,Silvia Singh,Love the food. The steak was amazing. The staff is very friendly,a year ago,5
Arouca,restaurante,Pedestre 142,João Luís Reis,"I had dinner there as a group of 2 people on a Monday. We managed to have a table without reservation but it was a close call. We ordered filet mignon and octopus ""à lagareiro"" as the main course and an ""alheira"" for starters. The food was amazing and the portions were quite big. We had chocolate cake for desert and ended up paying 41€ +-. The staff was always helpful and nice. Recommended!",3 years ago,5
Arouca,restaurante,Pedestre 142,Wild Traveller,"Nice, atmospheric restaurant with a modern, cosy interior. Friendly staff. Very tasty octopus, in fact a huge portion. Wide choice of wines. Overall a good place to go for a decent dinner, reservation recommended as it's a rather small place.",3 years ago,5
Arouca,restaurante,Pedestre 142,Ziv Stadler,"Excellent service, the service by Vitor was very attentive and very friendly. Delicious meal with large portion sizes. Fully satisfied would highly recommend.",a year ago,5
Arouca,restaurante,Pedestre 142,Peter Anthony Martins,"Unbelievable experience! The decoration is efficient, but sophisticated. I just loved the upholstered booth seating.
The staff was extremely pleasant and caring. We asked if the kitchen would be open before making a late reservation - to our greatest amusement, it was - obviously management and staff do the extra mile to please their guests.

The wine selection is very good.

And of course the food was top notch. The highlight? As a true lover of Abade De Priscos pudding I can say that it is the best I have ever savoured.

Thank you Sérgio. Thank you Pedestre 142",4 years ago,5
Arouca,restaurante,Pedestre 142,Will M,Wow! What a great find. This is a nice little restaurant tucked away in Arouca. Nice views out over the valley. Food was really fantastic. We found the value for money to be really good.,2 years ago,5
Arouca,restaurante,Tasquinho do Parque,Mike Lahaye,"Friendly staff and delicious food! Not really touristic, more locals. Great price-quality ratio. Good music.",a year ago,5
Arouca,restaurante,Tasquinho do Parque,Tyler Schroeder,"This rating needs to be brought down. This place is nothing special. The bathroom is gross, the service was great, and the food was okay and the prices were fine but don’t expect a nice restaurant with amazing food.",7 months ago,3
Arouca,restaurante,Tasquinho do Parque,G Mizrahi,"Great place, the servíce is king level. Good prices, and very comfortable.
Good veggie options (soup, burguer, salad and pasta).
Recommended!",a year ago,5
Arouca,restaurante,Tasquinho do Parque,Ilona Bolšaitienė,Everything was super tasty and the prices just incredible. They should increase them.,11 months ago,5
Arouca,restaurante,Tasquinho do Parque,Alberto Cunha,I tried the prego and it was simple not good. One of the worst I have tried. The staff is nice and the place it's cool,a year ago,2
Arouca,restaurante,Varandinha,Salomé Santos,"I haven't had such a delicious squid in a very long time !! Such an amazing food, with an amazing view and service.
Thank you for this experience ♥️",3 years ago,5
Arouca,restaurante,Varandinha,Sandra Tavares,"Traditional Portuguese food at its best!
Beautiful setting, beautiful scenery,  very professional staff! Loved it! I'm definitely coming back!",a year ago,5
Arouca,restaurante,Varandinha,Joe Rickerby,"Really good traditional Portuguese food, with a fantastic view and great service.",a year ago,5
Arouca,restaurante,Varandinha,Joao Pereira,The Restaurante  Varandinha located in Arouca maintains its good quality over the years. These typical Portuguese dishes are its strengths like Bacalhau and cabrito and  secretos de porco.  Nice view over Arouca .,a year ago,5
Arouca,restaurante,Varandinha,Hadas Nathaniel,"Non gluten-free friendly restaurant. We ordered steak and then found out that the steak contains sauce with gluten so we asked if he could change, and the waiter agreed (or so it seemed). At the end we had to pay for both",2 years ago,1
Arouca,restaurante,Alto da Estrada,razvan boboc,We stop here on a tour and the food was delicious. The veil on grill was very tasty and they cook the meat as much as you want. House wine was very good.,a year ago,5
Arouca,restaurante,Alto da Estrada,Mario Dominguez,High quality meat (as expected from the region) for an excellent price tag. Good friendly service. Fills that sweetspot between quality cuisine and casual roadside restaurant.,7 months ago,4
Arouca,restaurante,Alto da Estrada,Karen Mozzaquatro,"Really nice place for an authentic Portuguese meal if you come visit Arouca by car. They have a good sized parking lot in front. The dishes were well served, good sized portions. Fresh orange juice pressed for you just after ordered. The waitress was also very attentive to all the tables, answered our questions about the dishes as well. Also nice atmosphere and decorations, the chairs are really nice looking old style, sturdy. Interesting photos of the region on the wall. Would definitely come back. Well done!",3 years ago,5
Arouca,restaurante,Alto da Estrada,James Anderson,Very good food and the meat is just delicious. I believe they get the meat from animals kept on the mountainside so it's naturally better quality meat. Would definitely recommend that you stop by if you are in the area.,4 years ago,5
Arouca,restaurante,Alto da Estrada,Helder Machado,Very nice meal. Small delay getting our dishes but was worth the wait,a year ago,5
Arouca,restaurante,Restaurante do Pedrogão,Félix P,"Fabulous food, very welcoming people, I recommand!",6 years ago,5
Arouca,restaurante,Restaurante do Pedrogão,Pedro Teles Morais (Morales),"Really roots... Get the best experience around this area!! For sure!!
Remember it takes time! :-)",6 years ago,5
Arouca,restaurante,Restaurante do Pedrogão,Luis Lamela,An amazing gem of a restaurant!,8 years ago,5
Arouca,restaurante,Restaurante do Pedrogão,V,Top...,5 years ago,5
Arouca,restaurante,Restaurante do Pedrogão,Ilidio Silva,Top,3 years ago,5
Arouca,restaurante,Paiva à Vista,Nathalie Vega,We had a really nice time here. Stopped by with my mom and aunt after we left the suspension bridge. The food was very good and the service as well. We were given plenty of food. Enough to be able to take some home. We were very satisfied with everything. No complaints.,11 months ago,5
Arouca,restaurante,Paiva à Vista,Pasha Yarko,"The food is good, but they destroy all experience with a ""hiding prices"" strategy. We were surprised when we should have paid 20 euros/person for a codfish. When the restaurant looks like a very simple old local place. Read some comments below with more details",a year ago,1
Arouca,restaurante,Paiva à Vista,Louise Lambert,"Only stopped for drinks so can't comment on the food.
We were warmly welcomed and chairs and umbrella were set up for us.
Great views of the Pavia River .
Make sure you have cash as they didn't take card payment. Not sure what happens with food though.",a year ago,4
Arouca,restaurante,Paiva à Vista,Monika Koprek,Simply restaurant with very good homemade food. The daughter of the owners was so helpful and nice. Service was excellent.,8 months ago,5
Arouca,restaurante,Paiva à Vista,Svetlana Podkolzina,"I rarely write reviews but I felt the need to leave the comment for this restaurant for other people avoiding the deception.

We came for lunch on a public holiday, the lady (owner?) greeted us and said there were 3 plates to choose from (meat stew, codfish and something else), she did not present us the menu. We went for the meat stew for 3 of us, not worrying about checking the prices in the menu for it, because I saw the price list on the wall next to the entrance and it stated 8€ for a portion and 5€ per 1/2 portion, quite reasonable. The meat was OK, definitely not 3 1/2 portions (we just came from the North of Portugal and we know how generous 1/2 portions can be!) but we were satisfied. The surprise came with the bill where we were presented with 43€ to pay for the meat (25€ per full portion and 18€ for 1/2 portion). And of course, they do not accept cards, very convenient knowing that the closest ATM is miles away.",a year ago,2
Arouca,restaurante,Quinta D'Além da Ponte,Helder Figueira,Closed. Still a great spot for a swim or a walk,2 years ago,4
Arouca,restaurante,Quinta D'Além da Ponte,Ze Diogo,"Great place, great staff and great food. Nice for a date or a low profile encounter but still has charm. 5* deserved.",5 years ago,5
Arouca,restaurante,Quinta D'Além da Ponte,Rasmus Holleufer,Wonderful food wonderful service😍,a year ago,5
Arouca,restaurante,Quinta D'Além da Ponte,Sephirus Oakborn,Very beautiful place.,6 years ago,5
Arouca,restaurante,Quinta D'Além da Ponte,Rui Freire,Top...,2 years ago,5
