Cidade,Categoria,Nome,Rating,Endereço,Tipos,Latitude_Nova,Longitude_Nova,Total_Reviews_Novo
Arouca,restaurant,Tasquinha da Quinta,4.6,"R. 1º de Maio 3, 4540-121 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,A Assembleia,4.5,"Tv. da Ribeira 11, 4540-102 Arouca, Portugal","restaurant, bar, food, point_of_interest, establishment",,,
Arouca,restaurant,Parlamento,4.6,"Tv. da Ribeira 2, 4540-148 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,Casa Testinha,4.5,"R. 1º de Maio 4, 4540-113 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,Pedestre 142,4.4,"R. Dr. Ângelo Miranda 142 RC, 4540-140 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,Tasquinho do Parque,4.5,"R. Dom Afonso Henriques 57 4540, Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,Varandinha,4.4,"Av. Reinaldo Noronha 39, 4540-181 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,Café Arouquense,4.3,"Av. 25 de Abril, 4540-102 Arouca, Portugal","cafe, restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,Quinta D'Além da Ponte,4.5,"Lugar do, 4540-606 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,Restaurante do Pedrogão,4.8,"4540-445 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,Casa dos Bifes Silva,4.4,"Lugar do Paço Alvarenga, 4540-046 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,Paiva à Vista,4.3,"Vilarinho - Canelas, 4540-257 Arouca, Portugal","restaurant, cafe, food, point_of_interest, establishment",,,
Arouca,restaurant,Abadessa Restaurante e Petiscos,5.0,"R. Dr. Coelho da Rocha 8A, 4540-121 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,Alto da Estrada,4.1,"Alto da Estrada, 4540-202 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,Casa no Campo,4.7,"4540-431 Espinheiro, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,O Júlio,4.3,"4540-291 Escariz, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,Casa dos Doces Conventuais de Arouca - Autêntica,4.7,"Av. 25 de Abril 24, 4540-102 Arouca, Portugal","bakery, store, food, point_of_interest, establishment",,,
Arouca,restaurant,Requinte do Paiva,4.6,"XQVP+59 A 200 metros da entrada dos passadiços do Paiva, 4540-344 Espiunca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,Taberna da Toita,4.7,"Cruz da Toita, 4540-528 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,Restaurante Passadiços do Paiva,4.5,"R326 1, 4540-031 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,Sabores da serra,4.1,"Av. 25 de Abril, 4540-102 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,Manjar de Arouca,3.7,"Av. 25 de Abril 40, 4540-103 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,Confeitaria Rainha 3,4.3,"Alameda Dom Domingos de Pinho Brandão nº8, 4540-101 Arouca, Portugal","bakery, store, restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,BARBELHOAROUCA,4.6,"Areeiro, 4540-515 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,RESTAURANTE LAREIRA,4.4,"N326, Burgo, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,Café São João,4.3,"486 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,Churrascaria Central,4.1,"Av. 25 de Abril, 4540-118 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,Manjar das Oliveiras,4.4,"Chave, Portugal","point_of_interest, establishment",,,
Arouca,restaurant,Zé de Ver,4.3,"EM504, 4540-320 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,O Mineiro de Regoufe,4.3,"Covelo de Paivó, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,Zé Mota,4.6,"4540-044, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,O Brasileiro,4.3,"N224-1, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,Café Buggy,4.4,"R. Abel Botelho 5, 4540-102 Arouca, Portugal","meal_takeaway, restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,O Canastro,5.0,"R. 1º de Maio, 4540-113 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,Pousadinhos,4.3,"Rua dos Pousadinhos 1901, 4540-413, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,Restaurante Mira Freita,4.5,"Rua da Freita, n.º 306, 3730-009 Vale de Cambra, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,Hotel São Pedro,4.2,"Av. Reinaldo Noronha 24, 4540-105 Arouca, Portugal","lodging, point_of_interest, establishment",,,
Arouca,restaurant,Royal kebab e pizza,4.5,"R. Alferes Diogo Malafaia 3, 4540-117 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,Bella Pizza,4.4,"Av. 25 de Abril 48a, 4540-102 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,restaurant,Café Santo António,4.2,"4540-551 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,museum,Arte Sacra de Arouca Museum,4.5,"Largo Santa Mafalda, 4540-101 Arouca, Portugal","museum, tourist_attraction, point_of_interest, establishment",,,
Arouca,museum,Museu Municipal de Arouca,4.7,"Arouca, Portugal","tourist_attraction, museum, point_of_interest, establishment",,,
Arouca,hotel,Hotel São Pedro,4.2,"Av. Reinaldo Noronha 24, 4540-105 Arouca, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Palace Hotel & Spa Monte Rio,3.6,"Cruzamento com a variante - Várzea, Estr. da Lameira, 3660-692 São Pedro do Sul, Portugal","lodging, spa, point_of_interest, establishment",,,
Arouca,hotel,Furadouro Boutique Hotel Beach & SPA,4.2,"Av. do Infante Dom Henrique 734, 3880-355 Ovar, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Cagaréus - 62359/AL,4.4,"R. de Agostinho Pinheiro 27, 3800-095 Aveiro, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Hotel Rural da Freita,4.7,"4540-013, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Hotel Rural Vale Do Rio,4.5,"Rua Soares Basto 4346 Palmaz, 3720-423 Oliveira de Azeméis, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Hotel Jardim,4.2,"094, Av. de Dom Afonso V, Aveiro, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Hotel Vouga,4.5,"Termas De, R. Principal, Termas de São Pedro do Sul, 3660-692 São Pedro do Sul, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Urban City,2.7,"R. dos Mercadores 24, 3800-225 Aveiro, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Hotel Rural Quinta de Novais,4.6,"Novais - Santa Eulália, 4540-540 Arouca, Portugal","lodging, spa, point_of_interest, establishment",,,
Arouca,hotel,Green House,3.8,"R. do Gravito 7 1°Andar, 3800-196 Aveiro, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Douro Cister Hotel,4.4,"Douro Cister Hotel Quinta Ruinas da Abadia Velha, 3610-175, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Casa de Noronha Lima - Historic Stay,4.9,"Lugar de, 4540-035 Alvarenga, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,"Alojamento em Arouca, Casa Vieira Lobo",4.9,"R. de São Miguel 680, 4540-659 Arouca, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Casa Marialva,4.5,"R. Dr. Teixeira de Brito 14, 4540-144 Arouca, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Farm Anterronde,4.7,"quinta de anterronde, 4540-710 Arouca, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Rio moment's,4.7,"EM502-3, Bairros, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Cimo da Vinha - Nature Spot,4.8,"Rua de Sequeirô de Cima 290, caixa de correio 104, 4550-694 Castelo de Paiva, Portugal","lodging, park, point_of_interest, establishment",,,
Arouca,hotel,MS Collection Arouca - Mosteiro de Arouca,5.0,"Largo Santa Mafalda, 4540-101 Arouca, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Octant Hotels Douro,4.7,"EN 222, R. Vista Alegre Km 41, 4550-631 Raiva, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Casa do Soutinho - Suites & Nature,4.9,"Lugar de Carvalhais, 4540-028 Arouca, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Aqua Hotel,4.0,"R. Aquilino Ribeiro 1, 3880-151 Ovar, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,BellaVista Alojamento,4.8,"R. Mafalda Valente 102, 4540-197 Arouca, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,ibis Porto Sul Europarque,3.9,"Address: Rua Doutor Guimarães, 4520-153 Santa Maria da Feira, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Quinta do Pomar Maior,4.7,"Lugar de Barreiros Sta. Eulália 4540, 4540 Arouca, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Syntony Hotels - Paradinha Village,4.7,"Aldeia da Paradinha, 4540-063 Arouca, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Dourwin,4.7,"R. da Praia 790, 4575-532, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Villa Tavares suites,4.7,"Centro histórico o Calvário em, R. Almeida Garrett, 4540-156 Arouca, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Hostel Encostas do Douro,4.8,"Rua da Vista Alegre 4575-063, 4575-063 Alpendurada e Matos, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Casa das Fontelas,4.8,"R. de VL Verde n 397, 4550-863 Castelo de Paiva, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Casa Sr. Chico,4.5,"Lugar de Trancoso, 4540-048 Arouca, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Hotel Flower Residence,3.5,"R. Sá Carneiro-Amaro da Costa 44, 4550-120 Castelo de Paiva, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Hotel Douro,3.5,"Rua da Meditação 71 Piso -1, 4150-487 Porto, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Trebidlhadouro,4.6,"Rua Aldeia do Trebilhadouro nº112 - Roge, 3730-704 Vale de Cambra, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Pousada Ria - Aveiro,4.5,"Bico do Muranzel, 3870-301 Torreira, Portugal","lodging, clothing_store, store, point_of_interest, establishment",,,
Arouca,hotel,Arouca Guest House,4.7,"Avenida dos descobrimentos nr. 4, 4540-104 Arouca, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Quinta Vilar e Almarde,4.7,"Vilar de Nojões, 4550-332 Castelo de Paiva, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Casa de baixo studios,4.7,"R. de Vilarinho, 4540-257 Arouca, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Stay in Aveiro,2.8,"R. do Almte. Cândido dos Reis 129, 3800-098 Aveiro, Portugal","lodging, point_of_interest, establishment",,,
Arouca,hotel,Village Guest House,5.0,"R. Mafalda Valente, N.° 115, 4540-197 Arouca, Portugal","lodging, point_of_interest, establishment",,,
Arouca,bar,Noitesbrancas Lounge Bar,4.3,"R. Alferes Diogo Malafaia n3b, 4540-117 Arouca, Portugal","bar, point_of_interest, establishment",,,
Arouca,bar,BARBELHOAROUCA,4.6,"Areeiro, 4540-515 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,bar,Recanto do Paiva,4.6,"4540-344 Espiunca, Portugal","bar, point_of_interest, establishment",,,
Arouca,bar,A Assembleia,4.5,"Tv. da Ribeira 11, 4540-102 Arouca, Portugal","restaurant, bar, food, point_of_interest, establishment",,,
Arouca,bar,Cheiro Verde,4.4,"Av. 25 de Abril n°18, 4540-101 traseiras, Portugal","bar, point_of_interest, establishment",,,
Arouca,bar,Tasquinho do Parque,4.5,"R. Dom Afonso Henriques 57 4540, Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,bar,Varandinha,4.4,"Av. Reinaldo Noronha 39, 4540-181 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,bar,Casa do Areinho,4.8,"Praia Fluvial do Areinho, 4540-257 Arouca, Portugal","restaurant, bar, food, point_of_interest, establishment",,,
Arouca,bar,Taberna da Toita,4.7,"Cruz da Toita, 4540-528 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,bar,Zénite,3.7,"Av. Reinaldo Noronha 39, 4540-123 Arouca, Portugal","night_club, point_of_interest, establishment",,,
Arouca,bar,Alto da Estrada,4.1,"Alto da Estrada, 4540-202 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
Arouca,bar,Junior,,"Arouca, Portugal","bar, point_of_interest, establishment",,,
Arouca,bar,BOM COPO - restaurante & bar,4.8,"Av. 25 de Abril, 4540-102 Arouca, Portugal","restaurant, food, point_of_interest, establishment",,,
