Cidade,Categoria,Nome,Rating,Endereço,Tipos,Latitude,Longitude,Total_Reviews,id_unico,Grupo_Tematico,Locais_Semelhantes_Perto,Latitude_Nova,Longitude_Nova,Endereço_Limpo,shrinkage,Rating_Bayes,Nome_Local,Avg_Polarity,Rating_Bayes_norm,Popularity_norm,Sentiment_norm,IGATP
Arouca,restaurant,Tasquinha da Quinta,4.6,"R. 1º de Maio 3, 4540-121 Arouca, Portugal","restaurant, food, point_of_interest, establishment",40.9291086,-8.2451914,2154,d111a3c6,Serviços,6.0,40.9214837,-8.3651843,"R. 1º de Maio 3, 4540-121 Arouca, Portugal",0.993672140409964,4.599042534578698,Tasquinha da Quinta,0.42400000000000004,0.8818076060056641,0.024950481287139035,0.7071428571428571,0.5379669814785534
Arouca,restaurant,Tasquinho do Parque,4.5,"R. Dom Afonso Henriques 57 4540, Arouca, Portugal","restaurant, food, point_of_interest, establishment",40.9276446,-8.2488536,203,066473c6,Serviços,2.0,40.9269359,-8.2489498,"R. Dom Afonso Henriques 57 4540, Arouca, Portugal",0.9367054347280696,4.4967523859961664,Tasquinho do Parque,0.45787074829931973,0.8395235417015667,0.0023514149031054893,0.7330643481882548,0.5249797682643089
Arouca,restaurant,Varandinha,4.4,"Av. Reinaldo Noronha 39, 4540-181 Arouca, Portugal","restaurant, food, point_of_interest, establishment",40.9340695,-8.2413724,721,dc4ee328,Serviços,1.0,40.9354376,-8.244661,"Av. Reinaldo Noronha 39, 4540-181 Arouca, Portugal",0.9813302146301948,4.4009090407400295,Varandinha,0.3972698412698413,0.799904416789841,0.00835157706965053,0.6866861030126337,0.49831403229070836
Arouca,restaurant,Café Arouquense,4.3,"Av. 25 de Abril, 4540-102 Arouca, Portugal","cafe, restaurant, food, point_of_interest, establishment",40.9284695,-8.2455993,901,47e0eea2,Serviços,6.0,40.928498,-8.2483228,"Av. 25 de Abril, 4540-102 Arouca, Portugal",0.9850040955507454,4.302229748173467,Café Arouquense,0.5723701298701298,0.7591129856482508,0.010436575505901704,0.8206914259210176,0.5300803290250566
Arouca,restaurant,Quinta D'Além da Ponte,4.5,"Lugar do, 4540-606 Arouca, Portugal","restaurant, food, point_of_interest, establishment",40.93906,-8.3418356,423,61113e19,Serviços,0.0,40.9491638,-8.3957492,"Lugar do, 4540-606 Arouca, Portugal",0.9685906237113828,4.4983883998594765,Quinta D'Além da Ponte,0.65,0.8401998269192266,0.004899746325190257,0.8801020408163265,0.5750672046869144
Arouca,restaurant,Restaurante do Pedrogão,4.8,"4540-445 Arouca, Portugal","restaurant, food, point_of_interest, establishment",40.8990197,-8.212277,272,223ec896,Serviços,0.0,40.9530599,-8.1774561,"4540-445 Arouca, Portugal",0.951990926554904,4.7831339552694665,Restaurante do Pedrogão,0.36000000000000004,0.9579061705124952,0.003150664303668439,0.6581632653061225,0.5397400333740953
Arouca,restaurant,Paiva à Vista,4.3,"Vilarinho - Canelas, 4540-257 Arouca, Portugal","restaurant, cafe, food, point_of_interest, establishment",40.9529451,-8.1857753,379,e2937d34,Serviços,0.0,40.9533033,-8.1874407,"Vilarinho - Canelas, 4540-257 Arouca, Portugal",0.9650715182855694,4.305193532578729,Paiva à Vista,0.3483333333333333,0.760338136379892,0.0043900800407733025,0.649234693877551,0.4713209700994054
Arouca,restaurant,Abadessa Restaurante e Petiscos,5.0,"R. Dr. Coelho da Rocha 8A, 4540-121 Arouca, Portugal","restaurant, food, point_of_interest, establishment",40.929133,-8.245460999999999,26,55c15277,Serviços,6.0,40.9291146,-8.2455868,"R. Dr. Coelho da Rocha 8A, 4540-121 Arouca, Portugal",0.6546313719059972,4.809594986106747,Abadessa Restaurante e Petiscos,0.7236666666666667,0.9688444665750287,0.0003011664407918361,0.9364795918367346,0.6352084082841849
Arouca,restaurant,Alto da Estrada,4.1,"Alto da Estrada, 4540-202 Arouca, Portugal","restaurant, food, point_of_interest, establishment",40.92800889999999,-8.2559226,713,a64e3cf3,Serviços,1.0,40.9280417,-8.255962,"Alto da Estrada, 4540-202 Arouca, Portugal",0.9811246899470832,4.106581640850594,Alto da Estrada,0.46364242424242424,0.6782371900251709,0.008258910472483812,0.7374814471243043,0.474659182540653
Arouca,restaurant,Casa dos Doces Conventuais de Arouca - Autêntica,4.7,"Av. 25 de Abril 24, 4540-102 Arouca, Portugal","bakery, store, food, point_of_interest, establishment",40.928543,-8.2472362,750,e0b96ba9,Serviços,5.0,40.928498,-8.2483228,"Av. 25 de Abril 24, 4540-102 Arouca, Portugal",0.9820391470874285,4.695486266607329,,0.3556162758333243,0.9216749150607044,0.008687493484379886,0.6548083743622379,0.5283902609691074
